username,likes_given,likes_recieved,user_bookmarked_a_post,created_a_new_topic,replied,recieved_a_response,user_was_mentioned,user's_post_was_quoted,user_edited_the_post,user_sent_a_new_private_message,recieved_a_private_message,user_marked_a_post_as_solution,user_was_assigned_a_topic_or_post,linked,Solutions_posted
22f1000252,1,1,0,2,4,4,1,0,0,0,0,0,0,0,0.0
damnitsme,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0.0
ANANYA_NIRWANI,0,10,0,1,1,5,0,0,0,0,0,0,0,0,0.0
22f2001654,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0
Bhagyesh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
prass,1,5,0,0,3,1,1,0,0,0,0,0,0,0,0.0
22f2000975,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
ananya21,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0.0
Naveen,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
21f3002874,0,0,0,2,2,5,1,0,1,0,0,0,0,0,0.0
Amitabhab,1,4,0,1,5,6,0,0,0,0,0,0,0,0,0.0
22f3001019,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
22f3002399,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.0
arpitm1019,0,6,0,3,2,7,0,0,0,0,0,0,0,0,0.0
RTX11,0,0,0,3,2,7,0,0,0,0,0,0,0,0,0.0
21f3002073,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.0
22f2001160,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0
22f2001138,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0
